concept,member,member type,sort weight,void/retire,_version:1
839c0bbc-fb20-4169-8023-fea67d546d2e,d00ee0be-9ae4-4e1d-a88c-7b9d9df5bf26,concept-set,1,,1
839c0bbc-fb20-4169-8023-fea67d546d2e,ce3acce7-f35d-49dc-b0c6-e4812d11cd4d,concept-set,1,,1
9099c347-b15c-42bb-a046-0c5a090d3c70,98dfa18f-40c5-41b2-bc67-b5f8dab1f810,concept-set,1,,1
9099c347-b15c-42bb-a046-0c5a090d3c70,77b3ae72-e7a3-4bb5-9cf5-8e1e6630db98,concept-set,1,,1
9099c347-b15c-42bb-a046-0c5a090d3c70,31c538b6-0283-49c7-b343-3e1cd41236b1,concept-set,1,,1
9099c347-b15c-42bb-a046-0c5a090d3c70,a22a6482-10e2-42e6-86f3-28ee56bc71da,concept-set,1,,1
50065c8c-7431-476f-af5e-fd31be91b743,4ffcda93-1a9b-4425-89ed-4bac9c582aec,concept-set,1,,1
50065c8c-7431-476f-af5e-fd31be91b743,3cacb5c3-0c20-44f5-9e0b-48edd8442bfb,concept-set,1,,1
047e9d96-d158-53b7-a19a-9af472c80826,3cacb5c3-0c20-44f5-9e0b-48edd8442bfb,concept-set,1,,1
50065c8c-7431-476f-af5e-fd31be91b743,beda358a-a95b-4ef3-bb61-01f8bb66a440,concept-set,1,,1
50065c8c-7431-476f-af5e-fd31be91b743,04844a35-93c1-4c00-8dc2-d36b5327da66,concept-set,1,,1
50065c8c-7431-476f-af5e-fd31be91b743,78602be3-600a-4420-9150-3382ff4213e1,concept-set,1,,1
50065c8c-7431-476f-af5e-fd31be91b743,08613039-640f-4168-b134-243faa18a18b,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,369b26c9-1f18-4739-920b-6300f184cfbc,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,3bcef1c1-c19a-48d1-a3c2-f930faebe4f2,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,3e8bf97e-23a5-4047-8f7b-cdc61dd8ec02,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,0048d79c-fc1e-447d-b51f-493ec53d372a,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,8f170fce-44e2-4807-b2b0-4a4156b6ebc2,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,4ecabaa8-ec83-43a7-a624-c27e727ce87c,concept-set,1,,1
86b357a0-8a17-5fce-b4f7-91780fddfba5,4ecabaa8-ec83-43a7-a624-c27e727ce87c,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,f6d15f6b-81ac-4ccc-9f6e-5e70a9771d09,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,38bea3c7-d9ed-4db6-9903-2fd861469841,concept-set,1,,1
74890558-6718-53d1-8689-102f8f6d12be,38bea3c7-d9ed-4db6-9903-2fd861469841,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,9cc609af-b37d-40e6-b0e3-467f42a7e241,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,6d7cae53-c35c-4bfc-ae69-e036b0d28090,concept-set,1,,1
1859bc6b-9a29-4d50-afdd-3c078ef49c1b,300bee22-bb46-4dc7-8fc0-213fe7d27209,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,53fcea02-7ca2-48f9-8711-0aacb97862e6,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,002daa94-95cb-4ac6-9cbb-8888297f467a,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,31283b9d-d6d9-48c9-80ef-03b26ca7ec7b,concept-set,1,,1
58c06c20-686c-59d2-b992-68e7ec00479a,31283b9d-d6d9-48c9-80ef-03b26ca7ec7b,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,2c006f71-3940-4e65-91e3-47c0b50d8a55,concept-set,1,,1
