concept,member,member type,sort weight
Chapter 1: Certain infectious or parasitic diseases,Taeniasis (Super-Category),concept-set,91
Taeniasis (Super-Category),Taeniasis due to Taenia saginata,concept-set,2
Chapter 1: Certain infectious or parasitic diseases,Schistosomiasis (Super-Category),concept-set,92
Schistosomiasis (Super-Category),Schistosomiasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Helminthiases, unspecified (Super-Category)",concept-set,93
"Helminthiases, unspecified (Super-Category)","Helminthiases, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Myiasis (Super-Category),concept-set,94
Myiasis (Super-Category),Myiasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,External hirudiniasis (Super-Category),concept-set,95
External hirudiniasis (Super-Category),External hirudiniasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Pthiriasis (Super-Category),concept-set,96
Pthiriasis (Super-Category),Pthiriasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Scabies (Super-Category),concept-set,97
Scabies (Super-Category),Scabies,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Other specified parasitic diseases (Super-Category),concept-set,98
Other specified parasitic diseases (Super-Category),Other specified parasitic diseases,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Sepsis without septic shock (Super-Category),concept-set,99
Sepsis without septic shock (Super-Category),Sepsis without septic shock,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Sepsis with septic shock (Super-Category),concept-set,100
Sepsis with septic shock (Super-Category),Sepsis with septic shock,concept-set,1
Chapter 2: Neoplasms,Other and unspecified neoplasms of brain or central nervous system (Super-Category),concept-set,1
Other and unspecified neoplasms of brain or central nervous system (Super-Category),Other and unspecified neoplasms of brain or central nervous system,concept-set,1
Chapter 2: Neoplasms,Malignant haematopoietic neoplasms without further specification (Super-Category),concept-set,2
Malignant haematopoietic neoplasms without further specification (Super-Category),"Leukaemia, unspecified",concept-set,1
Chapter 2: Neoplasms,"Kaposi sarcoma, primary site (Super-Category)",concept-set,3
"Kaposi sarcoma, primary site (Super-Category)","Kaposi sarcoma, primary site",concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of nasopharynx (Super-Category),concept-set,4
Malignant neoplasms of nasopharynx (Super-Category),Malignant neoplasms of nasopharynx,concept-set,1
Chapter 2: Neoplasms,"Malignant neoplasms of lip, oral cavity or pharynx, unspecified (Super-Category)",concept-set,5
"Malignant neoplasms of lip, oral cavity or pharynx, unspecified (Super-Category)","Malignant neoplasms of lip, oral cavity or pharynx, unspecified",concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of oesophagus (Super-Category),concept-set,6
Malignant neoplasms of oesophagus (Super-Category),Malignant neoplasms of oesophagus,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of stomach (Super-Category),concept-set,7
Malignant neoplasms of stomach (Super-Category),Malignant neoplasms of stomach,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of colon (Super-Category),concept-set,8
Malignant neoplasms of colon (Super-Category),Malignant neoplasms of colon,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of rectum (Super-Category),concept-set,9
Malignant neoplasms of rectum (Super-Category),Malignant neoplasms of rectum,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasm of pancreas (Super-Category),concept-set,10
Malignant neoplasm of pancreas (Super-Category),Malignant neoplasm of pancreas,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of liver or intrahepatic bile ducts (Super-Category),concept-set,11
Malignant neoplasms of liver or intrahepatic bile ducts (Super-Category),Malignant neoplasm of liver,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of gallbladder (Super-Category),concept-set,12
Malignant neoplasms of gallbladder (Super-Category),Malignant neoplasms of gallbladder,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of larynx (Super-Category),concept-set,13
Malignant neoplasms of larynx (Super-Category),Malignant neoplasms of larynx,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of trachea (Super-Category),concept-set,14
Malignant neoplasms of trachea (Super-Category),Malignant neoplasms of trachea,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of bronchus or lung (Super-Category),concept-set,15
Malignant neoplasms of bronchus or lung (Super-Category),Malignant neoplasms of bronchus or lung,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of the pleura (Super-Category),concept-set,16
Malignant neoplasms of the pleura (Super-Category),Malignant neoplasms of the pleura,concept-set,1
Chapter 2: Neoplasms,"Malignant neoplasms of breast, unspecified (Super-Category)",concept-set,17
"Malignant neoplasms of breast, unspecified (Super-Category)","Malignant neoplasms of breast, unspecified",concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of cervix uteri (Super-Category),concept-set,18
Malignant neoplasms of cervix uteri (Super-Category),Malignant neoplasms of cervix uteri,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of testis (Super-Category),concept-set,19
