Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1,Member,Concept,Member Type
de0c1360-7a34-469d-8a13-4513b761a0a3,,,"Polyglycolic acid absorbable braided violet-Size 3, 18mm RB-1 Taper",,Medical supply,N/A,,,3,"Polyglycolic acid absorbable braided violet-Size 3, 18mm RB-1 Taper",Medical Supply Items,CONCEPT-SET
9aa4811c-954b-4384-a56f-d782b652be15,,,"Polyglycolic acid absorbable braided violet-Size 4, 18mm RB-1 Taper",,Medical supply,N/A,,,3,"Polyglycolic acid absorbable braided violet-Size 4, 18mm RB-1 Taper",Medical Supply Items,CONCEPT-SET
2362a787-fdc9-4ea7-9c71-5b484802622f,,,"Polyglycolic acid absorbable braided violet-Size 3, 27mm CT-3 cutting",,Medical supply,N/A,,,3,"Polyglycolic acid absorbable braided violet-Size 3, 27mm CT-3 cutting",Medical Supply Items,CONCEPT-SET
7ab279d0-e2c3-4047-8ee7-a1e6f0d0a26f,,,"Polyglycolic acid absorbable braided violet-Size 4, 27mm Ps-1 cutting",,Medical supply,N/A,,,3,"Polyglycolic acid absorbable braided violet-Size 4, 27mm Ps-1 cutting",Medical Supply Items,CONCEPT-SET
23717ddb-be00-4457-847a-f302e5a2ce23,,,"Polyglycolic acid absorbable braided violet-Size 3, 18mm PS-2",,Medical supply,N/A,,,3,"Polyglycolic acid absorbable braided violet-Size 3, 18mm PS-2",Medical Supply Items,CONCEPT-SET
12ba75a7-2ea7-4529-91ce-cf00996876af,,,FACS presto - Thermal paper Roll-6cm x 12m,,Medical supply,N/A,,,3,FACS presto - Thermal paper Roll-6cm x 12m,Medical Supply Items,CONCEPT-SET
54f872bd-f7da-4907-bec1-d3af618538f0,,,"Polyglycolic acid absorbable braided violet-Size 0, 0.8x18mm CT-2 Taper",,Medical supply,N/A,,,3,"Polyglycolic acid absorbable braided violet-Size 0, 0.8x18mm CT-2 Taper",Medical Supply Items,CONCEPT-SET
6eae75dd-8eab-4194-8c40-1fb3c7b4f6e6,,,Syringe(AD) -0.3ml with 23G,,Medical supply,N/A,,,3,Syringe(AD) -0.3ml with 23G,Medical Supply Items,CONCEPT-SET
df361185-1a3b-49fb-a79f-272f2f2d6b41,,,CVP line kit-Size 7Fr,,Medical supply,N/A,,,3,CVP line kit-Size 7Fr,Medical Supply Items,CONCEPT-SET
14464ba7-ad23-4d4b-b513-07bcf25f56df,,,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 29mm,,Medical supply,N/A,,,3,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 29mm,Medical Supply Items,CONCEPT-SET
78afe06f-15c5-4006-a60d-4211c4eccfc9,,,Cardipulmonary Bypass Oxygenators adult/afinity fusion,,Medical supply,N/A,,,3,Cardipulmonary Bypass Oxygenators adult/afinity fusion,Medical Supply Items,CONCEPT-SET
322214f8-2958-43bf-9f17-f5285e47bec2,,,"Prolene Double arm-round needle 5/0, 90cm on 17mm",,Medical supply,N/A,,,3,"Prolene Double arm-round needle 5/0, 90cm on 17mm",Medical Supply Items,CONCEPT-SET
057886ad-15c5-4ca6-9c29-8a57dbbec33a,,,Cardipulmonary Bypass Oxygenators pediatrics/pixie,,Medical supply,N/A,,,3,Cardipulmonary Bypass Oxygenators pediatrics/pixie,Medical Supply Items,CONCEPT-SET
216dee68-293b-48a1-9b14-01921a1e9fc9,,,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 31mm,,Medical supply,N/A,,,3,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 31mm,Medical Supply Items,CONCEPT-SET
6b6d1c10-27f3-49ce-b057-b1993c98b320,,,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 27mm,,Medical supply,N/A,,,3,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 27mm,Medical Supply Items,CONCEPT-SET
7626f479-f12f-4a4a-ba28-3ad2e95c6413,,,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 23mm,,Medical supply,N/A,,,3,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 23mm,Medical Supply Items,CONCEPT-SET
b71f77cd-ab9a-4297-9996-092c86f141fb,,,"Prolene Double arm-round needle 4/0, 90cm on 17mm",,Medical supply,N/A,,,3,"Prolene Double arm-round needle 4/0, 90cm on 17mm",Medical Supply Items,CONCEPT-SET
2aafd010-6654-4058-86e8-a4055086eb5c,,,COBAS 6800/8800 Solid waste bag with insert,,Medical supply,N/A,,,3,COBAS 6800/8800 Solid waste bag with insert,Medical Supply Items,CONCEPT-SET
a730a6c0-dd43-47d8-929d-8948dd852dc5,,,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 21mm,,Medical supply,N/A,,,3,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 21mm,Medical Supply Items,CONCEPT-SET
d5ebe02b-479c-4c7f-bb7e-2b7f161d3120,,,"Prolene Double arm-round needle 4/0, 90cm on 26mm",,Medical supply,N/A,,,3,"Prolene Double arm-round needle 4/0, 90cm on 26mm",Medical Supply Items,CONCEPT-SET
71ca7580-5eef-4b93-add9-038aab1b7791,,,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 25mm,,Medical supply,N/A,,,3,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 25mm,Medical Supply Items,CONCEPT-SET
95428e47-0b2c-4adc-8577-453ee3036e5e,,,"Prolene Double arm-round needle 4/0, 90cm on 22mm",,Medical supply,N/A,,,3,"Prolene Double arm-round needle 4/0, 90cm on 22mm",Medical Supply Items,CONCEPT-SET
de0d77a2-bc30-4137-9204-9a1a7317e90b,,,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 19mm,,Medical supply,N/A,,,3,St.Jude master Aortic Mechanical heart valve with standard cuff-Size 19mm,Medical Supply Items,CONCEPT-SET
efaeb19e-4058-41c2-9e9c-82a38866b042,,,"Prolene Double arm-round needle 5/0, 75cm on 13mm",,Medical supply,N/A,,,3,"Prolene Double arm-round needle 5/0, 75cm on 13mm",Medical Supply Items,CONCEPT-SET
08f81ae8-2e6d-49d0-b295-61ad90fd3bb9,,,"Gown - Isolation-Non woven, Disposable extra large",,Medical supply,N/A,,,3,"Gown - Isolation-Non woven, Disposable extra large",Medical Supply Items,CONCEPT-SET
4c611061-c76f-4b6c-b586-932f4f4b49a3,,,Centrifuge-Secondary Tube 5 ml 13x75mm,,Medical supply,N/A,,,3,Centrifuge-Secondary Tube 5 ml 13x75mm,Medical Supply Items,CONCEPT-SET
0c59a039-f811-4806-b29a-afcabd73f1c7,,,"Gown - Isolation-Non woven, Disposable large",,Medical supply,N/A,,,3,"Gown - Isolation-Non woven, Disposable large",Medical Supply Items,CONCEPT-SET
584e4f16-6b14-4c10-b23f-b2c1b43abb2b,,,"Master sizer set, complete",,Medical supply,N/A,,,3,"Master sizer set, complete",Medical Supply Items,CONCEPT-SET
70248fca-c9f4-4537-9bc2-1038bd765f0c,,,Cryogenic Vial-of 50 pcs,,Medical supply,N/A,,,3,Cryogenic Vial-of 50 pcs,Medical Supply Items,CONCEPT-SET
b13efda1-52ed-4542-9e82-605f11653d57,,,Plasma Preparation Tube,,Medical supply,N/A,,,3,Plasma Preparation Tube,Medical Supply Items,CONCEPT-SET
253f536b-8d15-4485-9693-302b718ef8f2,,,Umblical Cord Tie/Cotton Tape-6mm x 24.5m,,Medical supply,N/A,,,3,Umblical Cord Tie/Cotton Tape-6mm x 24.5m,Medical Supply Items,CONCEPT-SET
f6a01c38-470e-4c29-9995-2540632f3d94,,,Syringe Insulin (Disposable)-1ml on 4mm with Fixed Needle 32G,,Medical supply,N/A,,,3,Syringe Insulin (Disposable)-1ml on 4mm with Fixed Needle 32G,Medical Supply Items,CONCEPT-SET
d2994b43-cc20-499a-8f80-f7ea99fb6ee3,,,Catheter Ureteral-12CH,,Medical supply,N/A,,,3,Catheter Ureteral-12CH,Medical Supply Items,CONCEPT-SET
89e411df-c856-4d5b-b113-fd2eb446993c,,,Cryogenic Box,,Medical supply,N/A,,,3,Cryogenic Box,Medical Supply Items,CONCEPT-SET
b55ad46d-24ec-4387-8975-cdab1f5b4558,,,SARs COVID 2 kit,,Medical supply,N/A,,,3,SARs COVID 2 kit,Medical Supply Items,CONCEPT-SET
e2d0e2c8-59c0-42b0-bdca-27943029d457,,,Oral Hydration drop drop packets,,Medical supply,N/A,,,3,Oral Hydration drop drop packets,Medical Supply Items,CONCEPT-SET
3a73091e-fbf9-4900-bb8c-58cc0cda1c4a,,,Test Tube-Plastic 12x75mm round bottom sterile with snap cap,,Medical supply,N/A,,,3,Test Tube-Plastic 12x75mm round bottom sterile with snap cap,Medical Supply Items,CONCEPT-SET
f0ef61cc-f16f-497d-bb1e-45a042ed8c60,,,Sharp Collector 8QT Nestable Funnel top,,Medical supply,N/A,,,3,Sharp Collector 8QT Nestable Funnel top,Medical Supply Items,CONCEPT-SET
cf203f24-64db-4a34-9bb6-346c7f8751a6,,,"Gown - Isolation - Non woven, Disposable, Medium",,Medical supply,N/A,,,3,"Gown - Isolation - Non woven, Disposable, Medium",Medical Supply Items,CONCEPT-SET
72790949-ea8c-4d70-a3ec-5fc56b1fbbb2,,,"Goggle protective green /gray adj headband, polycarb scratch resistant D3",,Medical supply,N/A,,,3,"Goggle protective green /gray adj headband, polycarb scratch resistant D3",Medical Supply Items,CONCEPT-SET
23de25df-367f-40ab-a585-384460569096,,,Prosthesis Bra,,Medical supply,N/A,,,3,Prosthesis Bra,Medical Supply Items,CONCEPT-SET
344f89ef-a0b1-4adf-a594-5272011c0bfc,,,Syringe(AD) -0.05ml with Needle 27G,,Medical supply,N/A,,,3,Syringe(AD) -0.05ml with Needle 27G,Medical Supply Items,CONCEPT-SET
316f3794-49d7-4341-8dad-b4c32db4d759,,,Gown - Isolation-130cmx150cm,,Medical supply,N/A,,,3,Gown - Isolation-130cmx150cm,Medical Supply Items,CONCEPT-SET
5612b3c0-dc45-44b3-b04a-3dc96db21dac,,,Gown - Isolation-120cmx140cm,,Medical supply,N/A,,,3,Gown - Isolation-120cmx140cm,Medical Supply Items,CONCEPT-SET
0bfe1e08-49e1-4019-bb2f-9b08ac6b788a,,,Disposal Head Cap,,Medical supply,N/A,,,3,Disposal Head Cap,Medical Supply Items,CONCEPT-SET
2a029924-e422-4a3c-a0ff-2488254372cf,,,Tracheostomy Tube-Plastic With 90 Degree Curvature Size 4,,Medical supply,N/A,,,3,Tracheostomy Tube-Plastic With 90 Degree Curvature Size 4,Medical Supply Items,CONCEPT-SET
