Uuid,Void/Retire,Concept,Member,Member Type,Sort Weight
53ec0f8c-f5a4-4a0d-9bb9-9cdaf720ea6c,,Medical Supply Items,Suction Catheter with Xroline No.23,CONCEPT-SET,128
928da624-6164-4f5a-85ba-a010eca01d40,,Medical Supply Items,Disposable Syringe 50ml with Needle,CONCEPT-SET,129
650cda1b-eda4-42f0-bccb-f8a6552643b4,,Medical Supply Items,Gauze Bandage 5cm x 5m,CONCEPT-SET,130
4f5c3b12-aa80-4d24-bb49-7debd9e3b838,,Medical Supply Items,Surge Protector,CONCEPT-SET,131
8dbdf46f-abd2-4a36-bf2e-018d0887c823,,Medical Supply Items,Auto Disposable Syringe 1ml with needle,CONCEPT-SET,132
7e3683d7-cd2c-44b4-b167-03965e810a31,,Medical Supply Items,Gauze Non Sterile 90cm x 90m,CONCEPT-SET,133
8bd12e11-515e-47a2-9f69-c2324c0a2b3f,,Medical Supply Items,Dental Needle Steralized 0.4 x42mm,CONCEPT-SET,134
46a1de8b-6107-4ba6-bbf5-59f5f44da1b2,,Medical Supply Items,Goggles For Delivery Room,CONCEPT-SET,135
18a57614-35d8-4855-835b-88ff23d0bfbb,,Medical Supply Items,Sample Cups For Humastar 80,CONCEPT-SET,136
84b4c687-6e5b-4525-9007-0db26cc03b7a,,Medical Supply Items,Auto Disposable Syringe 5ML detachable needle 23G,CONCEPT-SET,137
954dcd1c-e860-44e3-bfee-4635591109dc,,Medical Supply Items,"Surgical Glove Sterile, Latex No 6.5",CONCEPT-SET,138
fb65ab85-73f7-45da-a9e2-f37f43b7ffef,,Medical Supply Items,Cat Gut Chromic 3.0(3/0) 75cm on 18 20mm 1/2circle Round Bodied Needle 2234,CONCEPT-SET,139
d4d1cbc9-0134-461a-b715-ea516fa8efcd,,Medical Supply Items,Cover Slide 22x22mm Thickness 13 mm,CONCEPT-SET,140
07b1bc1d-9363-40a1-a9c6-c348de41ba44,,Medical Supply Items,Disposable Syringe 1ml,CONCEPT-SET,141
c8742ec9-949d-4263-93d1-3bd282e26cb6,,Medical Supply Items,BD Syringe 1ml,CONCEPT-SET,142
91543e4c-171c-4054-a3d5-c8b117bf1a23,,Medical Supply Items,Mosquito Bednet 160x180x150,CONCEPT-SET,143
06eca4c0-975c-478e-95ae-028cfbd9e650,,Medical Supply Items,Water Proof Plaster,CONCEPT-SET,144
b94cd50d-e24d-419e-9071-0113240a883c,,Medical Supply Items,Recording Galss Strying 2ml,CONCEPT-SET,145
4ec4743e-faac-4707-9268-86991122b59c,,Medical Supply Items,Endotracheal Tube sterile CH 9,CONCEPT-SET,146
ad7be1e0-b83a-4b5f-92a7-8c10f7a3509d,,Medical Supply Items,"Gauze Swab 19cm x15cm, 40/40""",CONCEPT-SET,147
7255d107-7235-42b7-b3d8-9368c0e59bc9,,Medical Supply Items,"Ambu Bag pedaiatrics, silicon Rubber",CONCEPT-SET,148
a3c41bce-40c2-4a97-93d8-4ef87496692b,,Medical Supply Items,Ambu Bag Adult Large,CONCEPT-SET,149
07c93e6c-6684-4ac0-8502-8d442ba36c7e,,Medical Supply Items,Simpson Obstetric Forceps 30cc ss,CONCEPT-SET,150
d7c2ae0c-b7bb-4f9c-8d12-5ee63d886189,,Medical Supply Items,Measuring Tape Flexable 1.5m Vinyl Coated Fibregl,CONCEPT-SET,151
fcfde005-dd74-482a-a85c-3877f7960af9,,Medical Supply Items,Zinc Oxide Plaster 7.5cm x 5,CONCEPT-SET,152
4717e253-875a-47f0-bcdd-2414ae053800,,Medical Supply Items,Pasteur Pipette Non Ggraduated,CONCEPT-SET,153
a3aaa311-16fd-431d-8041-8b47ecb6c450,,Medical Supply Items,Biohazard Bags Autoclave 38x48,CONCEPT-SET,154
194a00fc-be2d-4a7a-baec-0b77ad0a461e,,Medical Supply Items,Insulin Syringe 0.3ml 100ul/ml i think its 0.1ml,CONCEPT-SET,155
ba2035f5-b5a4-42a2-96c2-de897c228f33,,Medical Supply Items,Auto Disposable Syringe 0.5ml with Fixed needle 23 G,CONCEPT-SET,156
44a059da-eec5-4645-abec-0b30e2d60a6e,,Medical Supply Items,Torniquate,CONCEPT-SET,157
0c48ce3f-86ba-4bc4-a705-9e5af6bed656,,Medical Supply Items,Sputem Cup Stainless steel 60ml,CONCEPT-SET,158
9f7d596c-3f08-4d7e-a99c-745fffcaa17e,,Medical Supply Items,Mop Scuizer,CONCEPT-SET,159
b6f9a794-39fc-4b5a-a2a3-68e2c4aee15a,,Medical Supply Items,Self Adhering Label Tape Yellow,CONCEPT-SET,160
b09a1bc2-b2bc-47b6-a29c-c71e50314bf4,,Medical Supply Items,Plastic Bed Sheet,CONCEPT-SET,161
