Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,Mappings|SAME-AS
59b19715-09dd-4bd3-9eef-fd62a3c22f85,,,Paraffin Gauze 10cm x 10cm,,Medical supply,N/A,,,DAGU Item:2623
f567e42b-88ed-4396-a19f-077bf7abfdda,,,Plaster Of Paris (P.O.P) 10cm x 3m,,Medical supply,N/A,,,DAGU Item:2624
e0ff4e52-a732-4350-98af-60c14a2ca223,,,Plaster Of Paris (P.O.P) 15cm x 3m,,Medical supply,N/A,,,DAGU Item:2625
46308db9-7674-4b64-a74c-dbaba732b88f,,,Plaster Of Paris (P.O.P) 15 cm x 3m,,Medical supply,N/A,,,DAGU Item:2626
442f38a4-47c4-4894-bb38-0fb4832efd95,,,Suction Catheter transparent with funnel silconized adult size(Sterile) for single use,,Medical supply,N/A,,,DAGU Item:2633
408c2dfe-bec6-468c-9108-1c5489fb4996,,,Silconized Cannula with 30cm extension tube steile 23chg of 100's,,Medical supply,N/A,,,DAGU Item:2641
925c8f1e-6fff-45df-9b56-3c0d5e8ed071,,,Silconized Cannula with 30cm extension tube steile 25chg of 100's,,Medical supply,N/A,,,DAGU Item:2642
91489190-33dc-4f2f-9160-8fc7db0edcb7,,,Umblical Clamp 5.3cm Sterile,,Medical supply,N/A,,,DAGU Item:2644
45b2a256-d861-4f1c-bf4d-cef4d1e957f5,,,Centrifuge Tube ungraduated Xonical,,Medical supply,N/A,,,DAGU Item:2650
b7db823f-71f2-4496-8ec4-eab7b203f4a8,,,"Centrifuge Tube round bottom ,ungraduated 1.2mm x 100 x 16mm",,Medical supply,N/A,,,DAGU Item:2651
d28287c7-5d72-460f-9a53-97b647abcbb8,,,Blood Collecting Bag,,Medical supply,N/A,,,DAGU Item:2677
f89824a9-1ede-4fa3-9aa0-0fdda3f2a663,,,Apron Plastics,,Medical supply,N/A,,,DAGU Item:2687
673f0455-ad5e-475c-9302-90f557061d0a,,,Cannula Intravenous Set (IV Cannula) 16G,,Medical supply,N/A,,,DAGU Item:2691
b41a575c-5009-4bfe-a8ab-e4e81b1b7dc1,,,Sheets Vinyl size 18cmx91cm,,Medical supply,N/A,,,DAGU Item:2713
7dfd034f-2621-43bc-a682-3038e90506dd,,,Scalp Vein Winged Infusion Set 23G,,Medical supply,N/A,,,DAGU Item:2714
fa0be896-82c1-408e-a058-cacc98a3e68e,,,Scalp Vein Winged Infusion Set 25G,,Medical supply,N/A,,,DAGU Item:2715
f30f5e86-3bd3-488a-903b-0a305cfbacbb,,,Surgical Glove No.7.5,,Medical supply,N/A,,,DAGU Item:2716
636eb68e-e9e6-430d-aa15-8604809b8e06,,,Gauze Dress 3x4.1 yrd Non sterile Roll,,Medical supply,N/A,,,DAGU Item:2784
eecb45b7-0a0b-4eeb-b6d2-522c71d94e3b,,,Humidity Indicating Cards,,Medical supply,N/A,,,DAGU Item:2790
fba7caad-2288-4abf-953d-304b2c32ba0f,,,Aluminum Foil 37.5 (Diamond),,Medical supply,N/A,,,DAGU Item:2802
012ece60-993d-446c-aad8-633af4c77290,,,BD Microtainer Tube K2EDTA 250 500 µl.,,Medical supply,N/A,,,DAGU Item:2816
b97e7583-738b-445c-87e3-8221dc72e497,,,Absorbent Underpads,,Medical supply,N/A,,,DAGU Item:2822
1df6fdb6-7d71-4610-98a2-8b187f076f59,,,Bottle and Cap (EV 431),,Medical supply,N/A,,,DAGU Item:2825
2b985352-f44c-4963-9b6a-3cd3ba474ce6,,,Disposable Syringe 10ml with Needle,,Medical supply,N/A,,,DAGU Item:2828
3fd8ccfe-15f1-44fd-b139-2b41fa6176d4,,,"Gauze Swab 10cmx 10cm , 6 plys sterial",,Medical supply,N/A,,,DAGU Item:2851
