Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1
ceac1f92-418d-4817-8168-0f6a045fcc9d,,,Simpson Obstetric Forceps 30cc ss,,Medical supply,N/A,,,2
ae4fcd3f-78db-4c3e-badb-632c54a4805b,,,Measuring Tape Flexable 1.5m Vinyl Coated Fibregl,,Medical supply,N/A,,,2
829d8fa5-d5d3-47e7-a400-804d0d2f9b24,,,Zinc Oxide Plaster 7.5cm x 5,,Medical supply,N/A,,,2
27fbe001-7092-4f98-8825-b521d8c73cd5,,,Pasteur Pipette Non Ggraduated,,Medical supply,N/A,,,2
14c38162-0c84-4af7-ba7a-3d27df4c1f1b,,,Biohazard Bags Autoclave 38x48,,Medical supply,N/A,,,2
b6256f85-46f2-485f-a8e6-c7d644ddbca7,,,Insulin Syringe 0.3ml 100ul/ml i think its 0.1ml,,Medical supply,N/A,,,2
6c9db0ff-99f5-4cf1-a9a8-d04b42c7e8b5,,,Auto Disposable Syringe 0.5ml with Fixed needle 23 G,,Medical supply,N/A,,,2
e2b625e7-9f61-4580-b97b-585ad8679839,,,Torniquate,,Medical supply,N/A,,,2
4aafb8af-f227-4304-9946-91542165b2b7,,,Sputem Cup Stainless steel 60ml,,Medical supply,N/A,,,2
7c4aaf57-812b-43c2-b21b-a99ebd4b5780,,,Mop Scuizer,,Medical supply,N/A,,,2
22e7a90f-8205-4f28-b47d-4232bf2d37e4,,,Self Adhering Label Tape Yellow,,Medical supply,N/A,,,2
c1c29c62-4b06-47ac-b419-e88301f1407a,,,Plastic Bed Sheet,,Medical supply,N/A,,,2
1bb3c88c-8fa0-4b7f-bff5-7930db121edf,,,"Insulin Syringe For single use, 0.1ml ,8mm/30G,U 100, Eng+4 Nordic languages",,Medical supply,N/A,,,2
a64c58a4-2f55-4762-932d-ef4803755d0a,,,"Insulin Syringe For single use, 0.3ml ,6mm/30G,U 100 Euro languages",,Medical supply,N/A,,,2
06a3a5e3-c0d4-453a-9c67-236aa94ef624,,,Superpath Preservative Fluid,,Medical supply,N/A,,,2
262cfabc-bb9a-4252-974a-3367a5b9691b,,,Cryogenic Vial 1.5ml (Nuc Tube),,Medical supply,N/A,,,2
8e75a633-9840-4eac-b3d7-7e871dd34bae,,,Absorbent Pad With Plastic Backing 17x24 Inch,,Medical supply,N/A,,,2
ee64a0a7-af69-4739-80e8-7932bbee1f55,,,Catheter Metal Femail 15.5cm Channel 12,,Medical supply,N/A,,,2
9fabdf1f-eb37-4b73-a013-1a1201a8ddbe,,,Disposable Syringe 2ml Without Needle,,Medical supply,N/A,,,2
b58c52d0-515b-4e4a-a62a-5db874f2d59d,,,Self Adhering Label Tape Red,,Medical supply,N/A,,,2
396d5b8b-fe84-4a08-a9ae-067d20d0b972,,,Self Adhering Label Tape blue,,Medical supply,N/A,,,2
7df8e029-f14f-4be6-ace3-d1f1c9a2eb30,,,Microscope Slide 25x75mm,,Medical supply,N/A,,,2
c9727596-07b1-4a26-b562-075a5e125fbb,,,"BD Vacutainer Tubes PLK2 E 4ml,7.2mg plus",,Medical supply,N/A,,,2
d2b52f86-0ba5-49d3-bebd-1d3bf698c437,,,Marker,,Medical supply,N/A,,,2
824e3b5d-0da4-4297-98e7-cb02ea78f096,,,Pipette Tips 200UL White,,Medical supply,N/A,,,2
2754e39d-cd39-4f2a-a32e-d130b1a0d3a7,,,"Urine Collecting Bag 1500 ml, sterilized",,Medical supply,N/A,,,2
c6d781e6-2244-4266-95b2-f4164dd45ea7,,,Syringe(AD) 1ml,,Medical supply,N/A,,,2
93ab5836-8bc1-45eb-852e-1d1ff9cd9ccb,,,Combitip Plus 25ml,,Medical supply,N/A,,,2
5a51a8b9-9646-474f-b930-ef1a7d26deea,,,Ear Syringe 65ml Rubber,,Medical supply,N/A,,,2
eadb7bdd-4b9b-4bf0-92ae-200dc3d08d3b,,,Infectious Waste Container,,Medical supply,N/A,,,2
c29c3f65-83fa-4150-8798-24f40bbc54ca,,,Dental Needle 27g long,,Medical supply,N/A,,,2
53593095-1012-4c46-b612-4e6f7ae32532,,,Stool Specimen Container Disposable of Polypropylene with Cover,,Medical supply,N/A,,,2
